"","id","var","highest","ensemble_df","cell_percentage"
"RNU6-215P","RNU6-215P",2.04124145231932,"DP","ENSG00000202039",0.0535762121618002
"RNU6-1034P","RNU6-1034P",2.04124145231932,"DP","ENSG00000202205",0.0267881060809001
"RNU6-1130P","RNU6-1130P",2.04124145231932,"DP","ENSG00000202304",0.0267881060809001
"RF00278","RF00278",2.04124145231932,"DP","ENSG00000202335",0.0267881060809001
"RN7SKP187","RN7SKP187",2.04124145231932,"DP","ENSG00000202406",0.0267881060809001
"AC105020.1","AC105020.1",2.04124145231932,"DP","ENSG00000203392",0.0535762121618002
"AL133216.1","AL133216.1",2.04124145231932,"DP","ENSG00000203496",0.0267881060809001
"AC096543.1","AC096543.1",2.04124145231932,"DP","ENSG00000203605",0.0267881060809001
"RAET1G","RAET1G",2.04124145231932,"DP","ENSG00000203722",0.0267881060809001
"TXNDC8","TXNDC8",2.04124145231932,"DP","ENSG00000204193",0.0267881060809001
"FBXO47","FBXO47",2.04124145231932,"DP","ENSG00000204952",0.0267881060809001
"PCDHA4","PCDHA4",2.04124145231932,"DP","ENSG00000204967",0.0267881060809001
"SLFN12L","SLFN12L",2.04124145231932,"DP","ENSG00000205045",0.0267881060809001
"ARRDC5","ARRDC5",2.04124145231932,"DP","ENSG00000205784",0.0267881060809001
"NANOGNB","NANOGNB",2.04124145231932,"DP","ENSG00000205857",0.0267881060809001
"KRTAP19-8","KRTAP19-8",2.04124145231932,"DP","ENSG00000206102",0.0267881060809001
"GOLGA8O","GOLGA8O",2.04124145231932,"DP","ENSG00000206127",0.0535762121618002
"TMEM191C","TMEM191C",2.04124145231932,"DP","ENSG00000206140",0.0535762121618002
"RNU6-1279P","RNU6-1279P",2.04124145231932,"DP","ENSG00000206644",0.0267881060809001
"RNU6-157P","RNU6-157P",2.04124145231932,"DP","ENSG00000206684",0.0267881060809001
"SNORA75B","SNORA75B",2.04124145231932,"DP","ENSG00000206780",0.0267881060809001
"RNU6-767P","RNU6-767P",2.04124145231932,"DP","ENSG00000206859",0.0267881060809001
"RNU6-1310P","RNU6-1310P",2.04124145231932,"DP","ENSG00000206880",0.0535762121618002
"RNU6-5P","RNU6-5P",2.04124145231932,"DP","ENSG00000206965",0.0267881060809001
"RF00393","RF00393",2.04124145231932,"DP","ENSG00000206977",0.0267881060809001
"RNU6-45P","RNU6-45P",2.04124145231932,"DP","ENSG00000207200",0.0535762121618002
"RNU6-1104P","RNU6-1104P",2.04124145231932,"DP","ENSG00000207454",0.0267881060809001
"RNU6-476P","RNU6-476P",2.04124145231932,"DP","ENSG00000207457",0.0267881060809001
"RNU6-1105P","RNU6-1105P",2.04124145231932,"DP","ENSG00000207505",0.0267881060809001
"MIR490","MIR490",2.04124145231932,"DP","ENSG00000207597",0.0267881060809001
"MIR491","MIR491",2.04124145231932,"DP","ENSG00000207609",0.0267881060809001
"MIR128-1","MIR128-1",2.04124145231932,"DP","ENSG00000207654",0.0267881060809001
"MIR602","MIR602",2.04124145231932,"DP","ENSG00000207693",0.0267881060809001
"MIR563","MIR563",2.04124145231932,"DP","ENSG00000207815",0.0535762121618002
"MIR548A3","MIR548A3",2.04124145231932,"DP","ENSG00000208032",0.0267881060809001
"SNORA35","SNORA35",2.04124145231932,"DP","ENSG00000208839",0.0267881060809001
"SNORD66","SNORD66",2.04124145231932,"DP","ENSG00000212158",0.0267881060809001
"RNU6-700P","RNU6-700P",2.04124145231932,"DP","ENSG00000212345",0.0267881060809001
"RNU6-1158P","RNU6-1158P",2.04124145231932,"DP","ENSG00000212469",0.0267881060809001
"RNU1-56P","RNU1-56P",2.04124145231932,"DP","ENSG00000212605",0.0803643182427002
"SMCO1","SMCO1",2.04124145231932,"DP","ENSG00000214097",0.0267881060809001
"SOGA3","SOGA3",2.04124145231932,"DP","ENSG00000214338",0.0267881060809001
"AL096814.1","AL096814.1",2.04124145231932,"DP","ENSG00000214732",0.0267881060809001
"AC025171.2","AC025171.2",2.04124145231932,"DP","ENSG00000215068",0.0267881060809001
"FAM166B","FAM166B",2.04124145231932,"DP","ENSG00000215187",0.0267881060809001
"MIR877","MIR877",2.04124145231932,"DP","ENSG00000216101",0.0267881060809001
"CELA3B","CELA3B",2.04124145231932,"DP","ENSG00000219073",0.0535762121618002
"SNORA11B","SNORA11B",2.04124145231932,"DP","ENSG00000221102",0.0535762121618002
"MIR548K","MIR548K",2.04124145231932,"DP","ENSG00000221333",0.0267881060809001
"MIR1288","MIR1288",2.04124145231932,"DP","ENSG00000221355",0.0267881060809001
"MIR1295A","MIR1295A",2.04124145231932,"DP","ENSG00000221390",0.0267881060809001
"MIR1271","MIR1271",2.04124145231932,"DP","ENSG00000221464",0.0267881060809001
"SNORD99","SNORD99",2.04124145231932,"DP","ENSG00000221539",0.0267881060809001
"OR4E2","OR4E2",2.04124145231932,"DP","ENSG00000221977",0.0267881060809001
"AC112721.1","AC112721.1",2.04124145231932,"DP","ENSG00000222022",0.0535762121618002
"AC112721.2","AC112721.2",2.04124145231932,"DP","ENSG00000222032",0.187516742566301
"RNU2-37P","RNU2-37P",2.04124145231932,"DP","ENSG00000222627",0.0535762121618002
"RN7SKP264","RN7SKP264",2.04124145231932,"DP","ENSG00000223012",0.0267881060809001
"AL121990.1","AL121990.1",2.04124145231932,"DP","ENSG00000223635",0.0267881060809001
