"Barcode"	"Cluster"
"355"	"A02_B01_P1-F11_LIG159_5_1"	"POB"
"356"	"C11_F06_P1-F11_LIG160_5_1"	"POB"
"357"	"H05_D09_P1-F12_LIG118_5_1"	"POB"
"358"	"A11_B05_P1-F11_LIG277_5_1"	"POB"
"359"	"E03_C06_P3-G02_LIG110_5_1"	"POB"
"360"	"B11_B04_P1-F10_LIG56_5_1"	"POB"
"361"	"E02_B02_P1-F09_LIG175_5_1"	"POB"
"362"	"E02_B04_P3-G03_LIG15_5_1"	"POB"
"363"	"G10_A11_P3-G03_LIG71_5_1"	"POB"
"364"	"F06_E02_P1-F11_LIG215_5_1"	"POB"
"365"	"E03_C09_P3-G03_LIG369_5_1"	"POB"
"366"	"C05_D03_P1-F10_LIG220_5_1"	"POB"
"367"	"F11_B03_P3-G02_LIG377_5_1"	"POB"
"368"	"D11_F06_P3-G02_LIG199_5_1"	"POB"
"369"	"E02_B05_P1-F12_LIG382_5_1"	"POB"
"370"	"A02_B12_P1-F12_LIG117_5_1"	"POB"
"371"	"G11_B11_P1-F10_LIG146_5_1"	"POB"
"372"	"F12_G11_P1-F12_LIG305_5_1"	"POB"
"373"	"E02_B08_P1-F11_LIG43_5_1"	"POB"
"374"	"F03_C02_P3-G03_LIG79_5_1"	"POB"
"375"	"B11_B07_P3-G03_LIG78_5_1"	"POB"
"376"	"C06_E02_P1-F11_LIG20_5_1"	"POB"
"377"	"H10_A01_P1-F12_LIG23_5_1"	"POB"
"378"	"B06_E05_P1-F10_LIG255_5_1"	"POB"
"379"	"E05_D12_P1-F11_LIG137_5_1"	"POB"
"380"	"A11_F08_P3-G03_LIG342_5_1"	"POB"
"381"	"E11_F03_P1-F09_LIG190_5_1"	"POB"
"382"	"G11_B03_P1-F12_LIG111_5_1"	"POB"
"383"	"A11_B04_P1-F09_LIG110_5_1"	"POB"
"384"	"C02_B09_P3-G03_LIG63_5_1"	"POB"
"385"	"E06_E08_P3-G02_LIG209_5_1"	"POB"
"386"	"A10_A04_P1-F11_LIG97_5_1"	"POB"
"387"	"B06_E02_P1-F10_LIG334_5_1"	"POB"
"388"	"A03_C08_P1-F11_LIG375_5_1"	"POB"
"389"	"A05_D11_P1-F12_LIG298_5_1"	"POB"
"390"	"B12_G04_P1-F09_LIG170_5_1"	"POB"
"391"	"D03_C08_P1-F12_LIG35_5_1"	"POB"
"392"	"D10_A12_P3-G02_LIG147_5_1"	"POB"
"393"	"H05_D04_P3-G02_LIG53_5_1"	"POB"
"394"	"B06_E12_P1-F11_LIG41_5_1"	"POB"
"395"	"C10_A03_P3-G03_LIG276_5_1"	"POB"
"396"	"G11_B01_P1-F12_LIG357_5_1"	"POB"
"397"	"F11_B12_P1-F09_LIG115_5_1"	"POB"
"398"	"E06_E05_P1-F11_LIG270_5_1"	"POB"
"399"	"A02_B08_P1-F10_LIG351_5_1"	"POB"
"400"	"C06_E02_P1-F09_LIG88_5_1"	"POB"
"401"	"D11_F10_P3-G02_LIG156_5_1"	"POB"
"402"	"A12_G11_P1-F12_LIG299_5_1"	"POB"
"403"	"D06_E05_P1-F09_LIG215_5_1"	"POB"
"404"	"A10_A04_P3-G03_LIG122_5_1"	"POB"
"405"	"F03_C06_P1-F09_LIG136_5_1"	"POB"
"406"	"F12_G09_P1-F11_LIG219_5_1"	"POB"
"407"	"C12_G02_P1-F09_LIG140_5_1"	"POB"
"408"	"G02_B09_P3-G03_LIG37_5_1"	"POB"
"409"	"A05_D11_P1-F12_LIG70_5_1"	"POB"
"410"	"F11_F06_P1-F09_LIG46_5_1"	"POB"
"411"	"C11_B02_P1-F11_LIG165_5_1"	"POB"
"412"	"D11_B05_P3-G02_LIG239_5_1"	"POB"
"413"	"E06_E11_P1-F11_LIG325_5_1"	"POB"
"414"	"A06_E08_P1-F10_LIG2_5_1"	"POB"
"415"	"D12_G04_P1-F12_LIG73_5_1"	"POB"
"416"	"F03_C01_P3-G03_LIG367_5_1"	"POB"
"417"	"F06_E10_P1-F12_LIG188_5_1"	"POB"
